model,split,horizon,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n
MS-VAR,test,3,1155.218891430135,2607.553933061783,20.406694361616886,24.573389495107197,2.766434458839498,2189.07685136422,1014.2003284595629,-15.041075034881384,0.7272727272727273,0.9090909090909091,11
MS-VAR,test,6,1914.8393694812814,3373.1608792007396,32.657730428527366,38.50307778769989,4.5855185144328825,3829.678738962563,1631.38689163146,-20.17111883289586,0.375,0.625,8
MS-VAR,test,12,5838.547318706058,7242.434529844172,96.22205493712318,114.62686110126842,13.981729879813194,11677.094637412116,5463.917661828725,-66.18998540776309,0.0,0.0,2
MS-VAR,validation,1,650.8244983530648,785.3820587806101,18.386155431768504,16.61449383950995,1.5585473300838382,733.9070514575922,460.55497826835665,-8.14964153496354,0.5384615384615384,0.8461538461538461,26
MS-VAR,validation,3,987.540595919209,1176.741502532372,27.634958834488522,22.45699242742927,2.3648906318279463,1017.2376064777576,750.1409310469261,-9.140670762962273,0.4583333333333333,0.625,24
MS-VAR,validation,6,1712.044499737972,1856.3876568774763,51.87055894647179,38.42448256216761,4.099880061066499,1712.044499737972,1376.1010909450222,-11.810097670681914,0.09523809523809523,0.3333333333333333,21
MS-VAR,validation,12,3444.9614695835135,3531.0184154889234,119.20019300990701,71.55130411494916,8.249744000491491,3444.9614695835135,3093.1858714314626,-23.332310061315393,0.0,0.0,15
MS-VECM,test,1,827.907017780876,899.4824675660134,13.861967304470443,12.831333253988447,1.9826117108149588,827.907017780876,546.3575912231311,-8.336133399660195,0.6,0.9,10
MS-VECM,test,3,1379.2267530751876,1421.7304155706245,22.79935718536821,20.325491923229457,3.3028722474724774,1379.2267530751876,1024.2127709904912,-9.715440054475428,0.125,0.375,8
MS-VECM,test,6,1583.4957594071625,1586.8867372221068,25.443949521246306,22.553256075230344,3.7920408562805465,1583.4957594071625,1213.5881105682488,-10.280808083503526,0.0,0.0,5
MS-VECM,test,12,,,,,,,,,,,0
MS-VECM,validation,1,1074.0921715467928,1335.6275945907416,17.50895638838662,15.367451869111688,2.5721580709767125,1074.0921715467928,828.5541244181177,-9.646499959395275,0.4166666666666667,0.6666666666666666,12
MS-VECM,validation,3,1901.0292019144229,2179.457146196018,33.119550768014946,27.38614701987608,4.552446926249271,1930.1138961382142,1572.8236274660278,-13.456802365177262,0.08333333333333333,0.25,12
MS-VECM,validation,6,3027.421235319022,3829.7815685247865,60.64907295476396,42.99107615765747,7.2498489151616266,3027.421235319022,2687.576121182648,-26.19645827429483,0.08333333333333333,0.25,12
MS-VECM,validation,12,5677.310481959859,7173.223692968609,170.94800992374027,81.20783832034657,13.595611591307057,5677.310481959859,5367.244643241957,-73.45431763114046,0.08333333333333333,0.16666666666666666,12
Naive,test,1,1138.3846153846155,1297.8160649574108,19.130008202625476,21.765200227021502,2.7261209548902263,2276.769230769231,866.8995897444297,-9.307451296576396,0.23076923076923078,0.5384615384615384,13
Naive,test,3,1443.6363636363637,1483.4858212393476,24.05316129661887,27.48242916202594,3.4571157137616075,2887.2727272727275,1081.8036837100715,-9.888925711521033,0.0,0.36363636363636365,11
Naive,test,6,1604.125,1623.3086197639684,26.173477512497623,30.183870148261896,3.841442266228981,3208.25,1233.1987271060018,-10.3756159365955,0.0,0.125,8
Naive,test,12,1579.5,1579.5348998993343,25.997639223886047,29.88206270092455,3.7824721013067406,3159.0,1206.6460894652937,-10.218539409934168,0.0,0.0,2
Naive,validation,1,1194.1254311098585,1505.6367026986793,37.40212711153329,26.79020330310126,2.8596050197112532,1211.4248380673414,957.491951423989,-10.313327933627132,0.4230769230769231,0.5769230769230769,26
Naive,validation,3,1704.1522193919234,1972.3804528775536,55.31703357696301,37.92182340111248,4.080980200208873,1704.1522193919234,1409.6061419441721,-12.41809331108214,0.20833333333333334,0.375,24
Naive,validation,6,2227.528077069384,2424.681746294306,70.82636145553595,47.95161613930935,5.334322764414306,2227.528077069384,1909.1655216858649,-14.970764384608444,0.09523809523809523,0.14285714285714285,21
Naive,validation,12,3732.9621648663674,3871.414071048099,134.11762847368217,75.00118982744198,8.939427188249857,3732.9621648663674,3381.183484853306,-26.560947661320693,0.0,0.0,15
VECM,test,1,5060.734483166785,5275.428399846205,88.29545618031538,168.43363809210584,12.119080085279743,10121.46896633357,4753.990195106801,-48.76460748792416,0.07692307692307693,0.07692307692307693,13
VECM,test,3,329329078.1954787,329329078.19565564,5563056.912511136,199.99278603419978,788653.4032437253,329329078.1954787,329328751.4354015,-161667346106.92377,0.0,0.0,11
VECM,test,6,2.0693183481716495e+18,2.0693183481716495e+18,3.3979220988677836e+16,199.99999999999883,4955453574347207.0,2.0693183481716495e+18,2.0693183481716493e+18,-6.382881314727661e+30,0.0,0.0,8
VECM,test,12,1.118290760397753e+34,1.118290760397753e+34,1.8406618394917555e+32,200.0,2.6780016475806277e+31,1.118290760397753e+34,1.118290760397753e+34,-1.864110382351406e+62,0.0,0.0,2
VECM,validation,1,1035.6942752302052,1313.9029608557107,33.969925736025125,24.95743585623554,2.4802055723592,1084.6841352932483,825.520759137357,-10.013922869584384,0.5384615384615384,0.6153846153846154,26
VECM,validation,3,12690210.14392297,14420948.265160196,277551.6085038611,199.89964146214388,30389.595333401983,22460308.443067133,12689890.89379703,-307814174.2998797,0.0,0.0,24
VECM,validation,6,4.366158910929043e+17,5.7594543609976134e+17,8549637462135238.0,199.9999999998515,1045576085499267.4,8.719873462340595e+17,4.366158910929041e+17,-4.853474572098776e+29,0.0,0.0,21
VECM,validation,12,6.311157034188815e+33,7.056064668094451e+33,1.9914227482597084e+32,200.0,1.5113501366752128e+31,6.311177967919026e+33,6.311157034188814e+33,-7.284747641101349e+61,0.0,0.0,15
XGBoost,test,1,442.1245868389423,543.8902975474117,8.189858779244968,7.803908616650393,1.0587679107439498,550.9174053485577,429.8418317623315,-311.1006166129976,0.07692307692307693,0.15384615384615385,13
XGBoost,test,3,525.2756569602273,627.6540701468535,9.009775989671052,8.655320935383886,1.257892065810465,688.2644264914773,512.8944082507595,-413.0156114879109,0.0,0.0,11
XGBoost,test,6,643.2835693359375,774.0618883479339,10.674206661149329,10.01421342851286,1.540488859919091,755.5023193359375,630.9023206316687,-626.0822837279028,0.0,0.0,8
XGBoost,test,12,943.9267578125,1023.4587445580845,15.525404366793438,14.238902316602704,2.2604473739175095,943.9267578125,931.5455091030096,-1091.514129443129,0.0,0.0,2
XGBoost,validation,1,1836.0227310780922,2413.8221512550936,62.01143917003951,37.01004463201093,4.396774142239881,1892.0326072227642,1829.3567525031954,-16181.58632373642,0.0,0.0,26
XGBoost,validation,3,2535.9852797088065,3123.8809561325934,92.51411334288896,49.73538855609993,6.072993713088403,2551.3934217526235,2529.7550159019265,-28901.47946223956,0.0,0.0,24
XGBoost,validation,6,2760.818438957408,3143.5604245443633,97.65418083172099,55.561166578883544,6.611407864596153,2760.818438957408,2754.877275915965,-39872.97875808664,0.0,0.0,21
XGBoost,validation,12,3805.835129768724,3918.76743552427,139.53991537608752,76.50825169673455,9.113938082002734,3805.835129768724,3800.8190891766776,-117844.29680327889,0.0,0.0,15
